GameId,PlayerId,BackPostPass,BlockedShot,Goal,GoalAssist,OffTargetShot,OnTargetShot,PlayerOff,playerOn,SavedShot,SuccessfulDribbling,SuccessfulInterception,SuccessfulPass,SuccessfulTackle,UnsuccessfulDribbling,UnsuccessfulInterception,UnsuccessfulPass,UnsuccessfulTackle,PlayerAttackingScore,PlayerDefendingScore,PlayerTeamPlayScore,PlayerTotalScore
158,3,0,2,1,0,4,4,2,3,3,12,1,2,1,6,1,4,0,550,90,20,660
162,3,0,0,0,0,1,4,2,3,4,18,3,13,1,9,1,0,1,700,150,390,1240
163,3,0,3,0,0,6,4,0,2,4,7,0,12,0,10,1,3,2,10,-50,330,290
164,3,1,2,3,3,3,6,2,2,3,15,1,8,3,7,0,3,1,1530,200,210,1940
245,3,1,1,0,0,3,2,3,3,2,2,4,15,5,4,1,1,0,100,450,440,990
179,3,1,1,0,3,2,2,1,2,2,6,3,14,5,2,0,3,0,790,420,390,1600
180,3,0,2,1,1,2,4,1,2,3,0,1,8,1,3,0,0,2,200,60,240,500
181,3,0,0,1,0,2,2,2,2,1,4,1,12,0,4,0,1,3,230,-20,350,560
292,3,0,0,1,1,1,3,3,4,2,10,3,13,5,5,1,5,3,670,350,340,1360
182,3,0,0,1,1,2,2,2,3,1,7,2,9,0,2,0,3,1,580,60,240,880
294,3,0,0,1,1,0,2,2,3,1,1,1,13,0,1,4,3,0,330,0,360,690
184,3,0,0,1,0,0,3,2,3,2,3,2,5,1,3,2,3,5,250,20,120,390
185,3,2,1,0,0,1,0,2,2,0,2,1,6,1,0,1,7,2,330,50,110,490
190,3,0,1,0,0,1,1,1,2,1,2,4,14,0,1,1,7,0,60,150,350,560
302,3,0,3,3,0,4,6,2,5,3,17,1,14,1,5,0,14,5,1110,0,280,1390
303,3,0,0,1,0,0,6,2,4,5,13,1,28,4,10,0,11,8,600,120,730,1450
203,3,0,0,3,0,4,7,3,3,4,19,2,15,1,5,0,9,1,1290,120,360,1770
204,3,1,5,4,2,3,8,2,3,4,13,8,13,3,5,0,5,2,1460,460,340,2260
205,3,1,1,3,2,4,11,2,2,8,15,3,7,2,6,0,4,1,1530,220,170,1920
207,3,1,1,2,2,0,7,3,3,5,14,2,13,1,1,0,4,1,1460,120,350,1930
206,3,0,1,2,0,4,2,2,2,0,13,3,15,4,3,0,2,1,800,340,430,1570
209,3,0,4,1,0,4,5,2,3,4,18,3,14,1,2,0,2,3,950,120,400,1470
210,3,0,0,4,0,2,5,2,3,1,15,1,16,2,5,0,5,0,1200,160,430,1790
211,3,0,4,3,0,2,6,2,3,3,9,4,10,3,5,0,3,4,710,260,270,1240
212,3,0,4,2,0,1,5,3,3,3,14,9,19,1,6,0,4,0,790,420,530,1740
213,3,0,0,2,0,3,6,2,2,4,18,2,22,5,5,0,6,3,1100,320,600,2020
214,3,0,1,0,0,3,3,2,3,3,2,1,14,5,3,1,5,9,20,150,370,540
289,3,0,0,4,1,2,5,3,3,1,12,3,30,9,5,1,3,2,1190,610,870,2670
298,3,0,2,3,0,3,5,2,1,2,17,1,14,4,0,0,17,6,1270,160,250,1680
299,3,0,1,3,1,3,6,3,3,3,19,0,14,5,3,1,2,1,1460,270,400,2130
192,3,1,0,3,1,3,5,2,3,2,8,5,11,2,2,0,5,0,1070,320,280,1670
193,3,0,1,2,2,0,4,2,2,2,8,2,9,2,5,0,3,1,850,180,240,1270
194,3,0,1,5,0,2,6,3,3,1,8,4,11,1,5,0,3,0,980,220,300,1500
195,3,2,1,3,2,6,6,3,3,3,13,5,10,4,0,0,3,0,1620,440,270,2330
198,3,0,1,1,1,1,2,2,2,1,6,2,14,0,7,0,4,2,370,40,380,790
199,3,0,0,2,0,0,2,1,1,0,4,0,3,0,0,0,0,0,500,0,90,590
201,3,0,2,3,0,1,5,2,2,2,4,1,8,5,3,0,4,2,550,300,200,1050
202,3,1,0,3,0,1,6,2,3,3,18,6,17,4,4,2,2,1,1410,440,490,2340
291,3,0,0,2,0,2,2,2,2,0,5,2,7,3,7,0,3,1,320,240,180,740
215,3,0,4,2,1,0,5,3,3,3,8,1,24,0,0,0,8,0,820,40,640,1500
165,3,2,0,9,3,1,13,2,2,4,19,4,14,9,6,0,2,1,2870,680,400,3950
166,3,1,0,3,3,3,4,2,3,1,16,4,19,4,7,0,7,3,1580,340,500,2420
167,3,1,2,3,1,3,3,2,3,0,8,3,5,2,2,3,4,1,990,190,110,1290
168,3,0,1,2,0,0,4,2,4,2,4,2,7,1,6,0,8,0,340,140,130,610
169,3,1,2,3,1,1,5,3,3,2,14,6,8,6,4,0,6,0,1290,600,180,2070
170,3,1,1,3,2,2,9,2,2,6,16,6,8,1,0,0,4,0,1740,300,200,2240
172,3,2,1,2,2,0,5,2,3,3,11,3,13,3,4,0,7,0,1310,300,320,1930
173,3,0,1,1,0,3,5,2,3,4,21,2,15,3,8,0,6,0,990,260,390,1640
174,3,0,2,3,2,0,5,2,2,2,9,4,9,5,4,1,4,8,1060,290,230,1580
175,3,0,1,4,2,4,9,2,2,5,20,2,12,5,8,1,2,14,1680,90,340,2110
176,3,0,1,1,1,0,4,2,2,3,9,2,17,6,1,1,6,1,750,410,450,1610
177,3,0,1,1,0,3,2,2,3,1,15,0,27,3,11,2,9,8,540,0,720,1260
290,3,0,1,2,1,5,5,2,2,3,13,1,10,1,2,1,8,6,1020,-30,220,1210
293,3,0,0,6,0,0,6,2,3,0,21,5,21,2,5,0,5,4,1800,240,580,2620
